# policy_name: pi05
# run_path: /weka/prior/abhayd/sim_cotraining_output/eval_runs_openpi/20260324_182515_pick_msproc_pi05/eval_data/pi/0/PiPnPBenchmarkEvalConfig/20260324_103142
# dt: 0.067
# max_steps: None
policy,category,successes,total,oracle_rate_pct,oracle_ci_95_low_pct,oracle_ci_95_high_pct,jerk_joint_mean,jerk_joint_std
pi05,Bottle,11,55,20.0,11.59,32.43,86.822228,24.008676
pi05,Bowl,23,56,41.07,29.14,54.18,87.084939,26.387809
pi05,Box,9,54,16.67,9.08,28.8,74.48222,20.253859
pi05,Cup,16,56,28.57,18.43,41.54,83.888152,20.073889
pi05,Fork,3,56,5.36,1.95,14.62,75.686969,21.812051
pi05,Fruit,0,54,0.0,0.05,6.49,76.351908,20.878432
pi05,Kettle,14,56,25.0,15.54,37.76,102.770682,22.179902
pi05,Knife,1,56,1.79,0.43,9.39,75.03669,16.364403
pi05,Ladle,7,55,12.73,6.38,24.07,77.730094,17.271832
pi05,Mug,29,56,51.79,38.97,64.37,88.106791,20.29753
pi05,Pot,7,56,12.5,6.26,23.68,75.730757,15.804665
pi05,Remote Control,3,55,5.45,1.98,14.87,96.046011,27.98013
pi05,S/p Shaker,10,56,17.86,10.05,29.91,92.366851,26.720068
pi05,Soap Dispenser,16,55,29.09,18.78,42.21,92.117846,25.000103
pi05,Spatula,2,56,3.57,1.1,12.11,76.506846,16.702281
pi05,Spoon,3,55,5.45,1.98,14.87,74.584067,15.254744
pi05,Spray Bottle,15,56,26.79,16.97,39.66,93.403836,23.217185
pi05,Tissue Paper,11,54,20.37,11.81,32.97,84.051373,19.432739
pi05,OVERALL,180,997,18.05,15.79,20.56,84.070162,23.068852
