# policy_name: tiptop
# run_path: .
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,oracle_successes,oracle_rate_pct,oracle_ci_95_low_pct,oracle_ci_95_high_pct,jerk_joint_mean,jerk_joint_std
tiptop,Bottle,44,55,80.0,67.57,88.41,48,87.27,75.93,93.62,22.589493,3.494781
tiptop,Bowl,47,56,83.93,72.13,91.25,48,85.71,74.21,92.52,19.116175,5.584264
tiptop,Box,36,55,65.45,52.19,76.64,42,76.36,63.58,85.61,16.844847,6.234638
tiptop,Cup,36,56,64.29,51.13,75.55,36,64.29,51.13,75.55,17.857099,5.676872
tiptop,Fork,38,56,67.86,54.76,78.6,41,73.21,60.34,83.03,12.787554,4.778466
tiptop,Fruit,5,55,9.09,4.03,19.62,12,21.82,12.98,34.44,18.610678,8.216408
tiptop,Kettle,38,56,67.86,54.76,78.6,45,80.36,68.09,88.62,22.19907,5.882897
tiptop,Knife,27,56,48.21,35.63,61.03,41,73.21,60.34,83.03,16.393416,8.486926
tiptop,Ladle,41,55,74.55,61.63,84.17,43,78.18,65.56,87.02,18.656111,7.01813
tiptop,Mug,40,56,71.43,58.46,81.57,41,73.21,60.34,83.03,16.877258,6.320617
tiptop,Pot,34,56,60.71,47.57,72.44,39,69.64,56.6,80.09,18.978391,7.895225
tiptop,Remote Control,32,55,58.18,44.98,70.29,32,58.18,44.98,70.29,15.446722,9.317131
tiptop,S/p Shaker,50,56,89.29,78.48,94.92,52,92.86,83.0,97.09,23.672462,5.494706
tiptop,Soap Dispenser,19,55,34.55,23.36,47.81,30,54.55,41.47,67.01,21.492157,9.401576
tiptop,Spatula,1,56,1.79,0.43,9.39,21,37.5,26.0,50.66,16.248453,4.12268
tiptop,Spoon,34,55,61.82,48.55,73.5,43,78.18,65.56,87.02,10.863201,4.568325
tiptop,Spray Bottle,24,56,42.86,30.74,55.92,28,50.0,37.29,62.71,23.151901,13.339332
tiptop,Tissue Paper,33,55,60.0,46.75,71.9,33,60.0,46.75,71.9,16.873287,7.138035
tiptop,OVERALL,579,1000,57.9,54.81,60.92,675,67.5,64.53,70.33,18.263487,7.960514
