# policy_name: pi05
# run_path: /home/orayyan/projects/molmospaces/eval_output/new_results/close/pi05
# reward_threshold: 0.85
# dt: 0.1
policy,category,oracle_successes,total,oracle_rate_pct,oracle_ci_95_low_pct,oracle_ci_95_high_pct,jerk_joint_mean,jerk_joint_std
pi05,Cabinet,32,44,72.73,58.06,83.63,56.913848,26.977676
pi05,Chestofdrawers,130,210,61.9,55.17,68.21,61.435899,61.881928
pi05,Coffeetable,1,2,50.0,9.43,90.57,54.339048,32.591186
pi05,Desk,24,42,57.14,42.13,70.92,52.933456,20.924733
pi05,Door,1,3,33.33,6.76,80.59,49.678148,18.823034
pi05,Drawer,190,298,63.76,58.15,69.01,49.031218,29.976444
pi05,Refrigerator,2,2,100.0,29.24,99.16,33.577136,7.045494
pi05,Safe,1,1,100.0,15.81,98.74,57.188108,0.0
pi05,Stand,215,313,68.69,63.35,73.57,51.10333,25.694886
pi05,OVERALL,596,915,65.14,61.99,68.15,53.127179,38.452622
